"Freq [GHz]","dB(St(stripline1_T1,stripline1_T1)) []"
3.9,-7.5657203348454
3.92,-7.56573602079727
3.94,-7.5657516220923
3.96,-7.56576713903054
3.98,-7.56578257205629
4,-7.56579792175509
4.02,-7.56581318885102
4.04,-7.56582837420358
4.06,-7.56584347880441
4.08,-7.56585850377374
4.1,-7.56587345035696
4.12,-7.56588831992089
4.14,-7.56590311394979
4.16,-7.56591783404139
4.18,-7.56593248190301
4.2,-7.56594705934729
4.22,-7.56596156828776
4.24,-7.56597601073487
4.26,-7.56599038879117
4.28,-7.56600470464738
4.3,-7.56601896057747
4.32,-7.56603315893438
4.34,-7.5660473021454
4.36,-7.56606139270746
4.38,-7.56607543318285
4.4,-7.56608942619417
4.42,-7.56610337442031
4.44,-7.56611728059126
4.46,-7.56613114748379
4.48,-7.56614497791693
4.5,-7.56615877474717
4.52,-7.56617254086403
4.54,-7.5661862791856
4.56,-7.56619999265388
4.58,-7.56621368423045
4.6,-7.56622735689185
4.62,-7.56624101362539
4.64,-7.56625465742469
4.66,-7.56626829128527
4.68,-7.56628191820043
4.7,-7.56629554115703
4.72,-7.56630916313115
4.74,-7.56632278708414
4.76,-7.56633641595844
4.78,-7.56635005267379
4.8,-7.5663637001229
4.82,-7.56637736116791
4.84,-7.56639103863643
4.86,-7.56640473531774
4.88,-7.56641845395917
4.9,-7.56643219726245
4.92,-7.56644596788009
4.94,-7.56645976841198
4.96,-7.5664736014019
4.98,-7.56648746933412
5,-7.56650137463041
5.02,-7.56651531964641
5.04,-7.56652930666886
5.06,-7.56654333791233
5.08,-7.56655741551646
5.1,-7.56657154154295
5.12,-7.56658571797264
5.14,-7.56659994670323
5.16,-7.5666142295461
5.18,-7.5666285682242
5.2,-7.5666429643694
5.22,-7.56665741952011
5.24,-7.56667193511922
5.26,-7.56668651251181
5.28,-7.56670115294296
5.3,-7.566715857556
5.32,-7.56673062739058
5.34,-7.56674546338087
5.36,-7.56676036635399
5.38,-7.56677533702836
5.4,-7.56679037601242
5.42,-7.56680548380329
5.44,-7.56682066078542
5.46,-7.56683590722983
5.48,-7.56685122329288
5.5,-7.56686660901564
5.52,-7.56688206432316
5.54,-7.5668975890239
5.56,-7.56691318280936
5.58,-7.56692884525375
5.6,-7.56694457581396
5.62,-7.56696037382943
5.64,-7.56697623852257
5.66,-7.56699216899876
5.68,-7.56700816424709
5.7,-7.56702422314085
5.72,-7.56704034443835
5.74,-7.56705652678396
5.76,-7.567072768709
5.78,-7.56708906863342
5.8,-7.56710542486672
5.82,-7.5671218356101
5.84,-7.56713829895793
5.86,-7.56715481289981
5.88,-7.56717137532271
5.9,-7.5671879840132
5.92,-7.56720463666019
5.94,-7.56722133085722
5.96,-7.5672380641056
5.98,-7.56725483381711
6,-7.56727163731744
6.02,-7.5672884718493
6.04,-7.56730533457589
6.06,-7.56732222258466
6.08,-7.56733913289084
6.1,-7.56735606244146
6.12,-7.56737300811942
6.14,-7.56738996674734
6.16,-7.56740693509186
6.18,-7.56742390986818
6.2,-7.56744088774391
6.22,-7.5674578653438
6.24,-7.56747483925395
6.26,-7.56749180602629
6.28,-7.56750876218276
6.3,-7.56752570421954
6.32,-7.56754262861129
6.34,-7.56755953181507
6.36,-7.56757641027376
6.38,-7.56759326042008
6.4,-7.56761007867905
6.42,-7.56762686147119
6.44,-7.5676436052144
6.46,-7.56766030632567
6.48,-7.56767696122207
6.5,-7.5676935663207
6.52,-7.56771011803805
6.54,-7.56772661278787
6.56,-7.56774304697832
6.58,-7.56775941700719
6.6,-7.56777571925574
6.62,-7.5677919500808
6.64,-7.56780810580463
6.66,-7.56782418270231
6.68,-7.56784017698677
6.7,-7.56785608479057
6.72,-7.56787190214421
6.74,-7.56788762495095
6.76,-7.56790324895708
6.78,-7.56791876971763
6.8,-7.56793418255646
6.82,-7.56794948252079
6.84,-7.56796466432893
6.86,-7.56797972231069
6.88,-7.56799465033984
6.9,-7.56800944175756
6.92,-7.56802408928619
6.94,-7.56803858493221
6.96,-7.56805291987779
6.98,-7.56806708435929
7,-7.56808106753275
7.02,-7.56809485732457
7.04,-7.56810844026731
7.06,-7.56812180131955
7.08,-7.56813492367005
7.1,-7.5681477885266
7.12,-7.56816037488996
7.14,-7.56817265931592
7.16,-7.56818461566838
7.18,-7.5681962148695
7.2,-7.56820742465455
7.22,-7.56821820934396
7.24,-7.5682285296481
7.26,-7.56823834252743
7.28,-7.56824760113733
7.3,-7.56825625489584
7.32,-7.56826424972361
7.34,-7.56827152851706
7.36,-7.56827803192865
7.38,-7.56828369954111
7.4,-7.56828847153358
7.42,-7.56829229094199
7.44,-7.56829510661341
7.46,-7.56829687693531
7.48,-7.56829757438133
7.5,-7.56829719084596
7.52,-7.56829574363752
7.54,-7.56829328184864
7.56,-7.5682898926263
7.58,-7.56828570660835
7.6,-7.56828090148728
7.62,-7.56827570232353
7.64,-7.5682703769433
7.66,-7.56826522469622
7.68,-7.5682605573375
7.7,-7.5682566722176
7.72,-7.5682538204613
7.74,-7.56825217586948
7.76,-7.56825181240383
7.78,-7.56825269745885
7.8,-7.56825470390783
7.82,-7.56825763767328
7.84,-7.56826127257599
7.86,-7.56826538307439
7.88,-7.56826976824777
7.9,-7.5682742647998
7.92,-7.56827875051955
7.94,-7.56828314137729
7.96,-7.56828738545953
7.98,-7.56829145609433
8,-7.56829534550587
8.02,-7.56829905955342
8.04,-7.56830261363535
8.06,-7.56830602961318
8.08,-7.56830933354396
8.1,-7.56831255401733
8.12,-7.56831572093283
8.14,-7.56831886459454
8.16,-7.56832201503698
8.18,-7.56832520152171
8.2,-7.56832845216377
8.22,-7.56833179365876
8.24,-7.56833525109038
8.26,-7.56833884780196
8.28,-7.56834260532067
8.3,-7.56834654332414
8.32,-7.56835067964114
8.34,-7.56835503027985
8.36,-7.56835960947722
8.38,-7.56836442976479
8.4,-7.56836950204661
8.42,-7.56837483568522
8.44,-7.56838043859338
8.46,-7.56838631732839
8.48,-7.56839247718744
8.5,-7.56839892230182
8.52,-7.56840565572976
8.54,-7.56841267954538
8.56,-7.56841999492467
8.58,-7.5684276022268
8.6,-7.56843550107097
8.62,-7.56844369040865
8.64,-7.56845216859079
8.66,-7.56846093343046
8.68,-7.56846998226059
8.7,-7.56847931198734
8.72,-7.56848891913899
8.74,-7.56849879991077
8.76,-7.56850895020571
8.78,-7.56851936567176
8.8,-7.56853004173556
8.82,-7.56854097363312
8.84,-7.56855215643722
8.86,-7.56856358508239
8.88,-7.56857525438735
8.9,-7.56858715907491
8.92,-7.56859929379016
8.94,-7.56861165311633
8.96,-7.56862423158931
8.98,-7.5686370237103
9,-7.56865002395719
9.02,-7.56866322679464
9.04,-7.56867662668284
9.06,-7.56869021808549
9.08,-7.56870399547659
9.1,-7.56871795334649
9.12,-7.56873208620733
9.14,-7.56874638859737
9.16,-7.56876085508515
9.18,-7.56877548027298
9.2,-7.56879025879981
9.22,-7.56880518534373
9.24,-7.56882025462424
9.26,-7.56883546140391
9.28,-7.56885080049
9.3,-7.56886626673558
9.32,-7.56888185504062
9.34,-7.56889756035256
9.36,-7.56891337766719
9.38,-7.56892930202881
9.4,-7.56894532853068
9.42,-7.56896145231498
9.44,-7.56897766857305
9.46,-7.56899397254527
9.48,-7.56901035952073
9.5,-7.56902682483732
9.52,-7.56904336388118
9.54,-7.56905997208645
9.56,-7.56907664493494
9.58,-7.56909337795561
9.6,-7.56911016672422
9.62,-7.56912700686264
9.64,-7.56914389403861
9.66,-7.56916082396496
9.68,-7.56917779239917
9.7,-7.56919479514286
9.72,-7.56921182804111
9.74,-7.56922888698193
9.76,-7.56924596789575
9.78,-7.56926306675467
9.8,-7.56928017957207
9.82,-7.56929730240187
9.84,-7.56931443133806
9.86,-7.56933156251409
9.88,-7.56934869210227
9.9,-7.56936581631319
9.92,-7.56938293139532
9.94,-7.56940003363427
9.96,-7.5694171193523
9.98,-7.56943418490779
10,-7.56945122669482
