"Freq [GHz]","dB(St(stripline1_T1,stripline1_T1)) []"
1,-7.56269058015752
1.02,-7.5626777361482
1.04,-7.56266168384672
1.06,-7.56264412233157
1.08,-7.56262644415014
1.1,-7.5626097730955
1.12,-7.5625949986649
1.14,-7.56258280730812
1.16,-7.56257371061688
1.18,-7.56256807062943
1.2,-7.56256612243849
1.22,-7.56256799429873
1.24,-7.56257372543029
1.26,-7.5625832817119
1.28,-7.56259656945144
1.3,-7.56261344741113
1.32,-7.5626337372585
1.34,-7.56265723259926
1.36,-7.56268370674155
1.38,-7.56271291932569
1.4,-7.56274462194612
1.42,-7.56277856287951
1.44,-7.56281449102351
1.46,-7.56285215914087
1.48,-7.56289132649527
1.5,-7.56293176095512
1.52,-7.56297324063605
1.54,-7.56301555514361
1.56,-7.56305850647181
1.58,-7.56310190960706
1.6,-7.56314559288265
1.62,-7.56318939812076
1.64,-7.56323318059822
1.66,-7.56327680886524
1.68,-7.56332016444436
1.7,-7.56336314143273
1.72,-7.56340564602759
1.74,-7.56344759599299
1.76,-7.56348892008298
1.78,-7.56352955743371
1.8,-7.56356945693655
1.82,-7.56360857660108
1.84,-7.56364688291571
1.86,-7.56368435021376
1.88,-7.56372096004904
1.9,-7.5637567005868
1.92,-7.56379156601294
1.94,-7.56382555596441
1.96,-7.56385867498355
1.98,-7.5638909319973
2,-7.56392233982305
2.02,-7.56395291470111
2.04,-7.5639826758556
2.06,-7.56401164508137
2.08,-7.56403984635963
2.1,-7.56406730549949
2.12,-7.56409404980647
2.14,-7.56412010777618
2.16,-7.56414550881242
2.18,-7.56417028296999
2.2,-7.56419446071941
2.22,-7.56421807273367
2.24,-7.56424114969577
2.26,-7.5642637221259
2.28,-7.56428582022666
2.3,-7.56430747374603
2.32,-7.56432871185687
2.34,-7.56434956305102
2.36,-7.56437005504821
2.38,-7.56439021471806
2.4,-7.56441006801402
2.42,-7.5644296399192
2.44,-7.56444895440214
2.46,-7.56446803438242
2.48,-7.56448690170507
2.5,-7.56450557712272
2.52,-7.56452408028544
2.54,-7.5645424297367
2.56,-7.56456064291567
2.58,-7.56457873616455
2.6,-7.56459672474083
2.62,-7.56461462283369
2.64,-7.56463244358421
2.66,-7.5646501991086
2.68,-7.56466790052456
2.7,-7.56468555797983
2.72,-7.56470318068296
2.74,-7.56472077693557
2.76,-7.56473835416641
2.78,-7.56475591896601
2.8,-7.56477347712254
2.82,-7.5647910336583
2.84,-7.56480859286644
2.86,-7.5648261583477
2.88,-7.56484373304776
2.9,-7.56486131929386
2.92,-7.56487891883144
2.94,-7.56489653286025
2.96,-7.5649141620699
2.98,-7.56493180667489
3,-7.56494946644904
3.02,-7.56496714075877
3.04,-7.56498482859567
3.06,-7.56500252860835
3.08,-7.56502023913319
3.1,-7.56503795822396
3.12,-7.56505568368066
3.14,-7.56507341307709
3.16,-7.56509114378743
3.18,-7.56510887301194
3.2,-7.565126597801
3.22,-7.56514431507896
3.24,-7.56516202166584
3.26,-7.56517971429902
3.28,-7.56519738965287
3.3,-7.56521504435806
3.32,-7.56523267501948
3.34,-7.56525027823316
3.36,-7.5652678506023
3.38,-7.5652853887522
3.4,-7.56530288934427
3.42,-7.56532034908914
3.44,-7.56533776475884
3.46,-7.56535513319798
3.48,-7.56537245133427
3.5,-7.56538971618804
3.52,-7.56540692488125
3.54,-7.56542407464504
3.56,-7.56544116282747
3.58,-7.56545818689994
3.6,-7.56547514446278
3.62,-7.56549203325085
3.64,-7.56550885113787
3.66,-7.56552559614036
3.68,-7.56554226642121
3.7,-7.56555886029224
3.72,-7.5655753762168
3.74,-7.56559181281121
3.76,-7.5656081688465
3.78,-7.56562444324879
3.8,-7.56564063510031
3.82,-7.56565674363884
3.84,-7.56567276825775
3.86,-7.56568870850515
3.88,-7.56570456408297
