"Freq [GHz]","dB(St(stripline1_T2,stripline1_T1)) []"
1,-6.1888330661022
1.02,-6.18882927912676
1.04,-6.18882652283024
1.06,-6.18882484661976
1.08,-6.18882426751126
1.1,-6.18882477674857
1.12,-6.18882634542422
1.14,-6.18882892922548
1.16,-6.18883247241981
1.18,-6.18883691118037
1.2,-6.18884217634037
1.22,-6.18884819565571
1.24,-6.18885489564492
1.26,-6.18886220306806
1.28,-6.18887004609792
1.3,-6.18887835522961
1.32,-6.18888706397054
1.34,-6.1888961093453
1.36,-6.1889054322461
1.38,-6.1889149776556
1.4,-6.18892469476465
1.42,-6.18893453700471
1.44,-6.18894446201144
1.46,-6.18895443153339
1.48,-6.18896441129954
1.5,-6.18897437085288
1.52,-6.18898428336207
1.54,-6.18899412541577
1.56,-6.18900387680668
1.58,-6.18901352031012
1.6,-6.18902304146145
1.62,-6.18903242833469
1.64,-6.18904167132554
1.66,-6.18905076294141
1.68,-6.18905969759838
1.7,-6.18906847142838
1.72,-6.18907708209514
1.74,-6.18908552862131
1.76,-6.18909381122625
1.78,-6.18910193117449
1.8,-6.18910989063514
1.82,-6.18911769255201
1.84,-6.1891253405241
1.86,-6.18913283869631
1.88,-6.18914019165959
1.9,-6.18914740436066
1.92,-6.1891544820202
1.94,-6.18916143005969
1.96,-6.18916825403567
1.98,-6.18917495958178
2,-6.18918155235696
2.02,-6.18918803800078
2.04,-6.18919442209393
2.06,-6.18920071012453
2.08,-6.18920690745904
2.1,-6.18921301931814
2.12,-6.18921905075647
2.14,-6.18922500664599
2.16,-6.18923089166308
2.18,-6.18923671027838
2.2,-6.18924246674971
2.22,-6.18924816511698
2.24,-6.1892538091996
2.26,-6.18925940259595
2.28,-6.18926494868409
2.3,-6.18927045062408
2.32,-6.18927591136203
2.34,-6.18928133363447
2.36,-6.18928671997426
2.38,-6.18929207271699
2.4,-6.18929739400802
2.42,-6.18930268581017
2.44,-6.18930794991152
2.46,-6.18931318793395
2.48,-6.18931840134139
2.5,-6.18932359144857
2.52,-6.18932875942967
2.54,-6.18933390632683
2.56,-6.18933903305893
2.58,-6.18934414042989
2.6,-6.1893492291372
2.62,-6.1893542997797
2.64,-6.18935935286594
2.66,-6.18936438882132
2.68,-6.18936940799594
2.7,-6.18937441067144
2.72,-6.18937939706787
2.74,-6.18938436735022
2.76,-6.1893893216346
2.78,-6.18939425999409
2.8,-6.18939918246433
2.82,-6.18940408904867
2.84,-6.18940897972326
2.86,-6.18941385444127
2.88,-6.1894187131378
2.9,-6.18942355573326
2.92,-6.18942838213743
2.94,-6.18943319225269
2.96,-6.18943798597722
2.98,-6.18944276320784
3,-6.18944752384267
3.02,-6.18945226778328
3.04,-6.18945699493704
3.06,-6.18946170521886
3.08,-6.18946639855284
3.1,-6.18947107487371
3.12,-6.18947573412816
3.14,-6.18948037627591
3.16,-6.18948500129048
3.18,-6.18948960916001
3.2,-6.18949419988772
3.22,-6.18949877349255
3.24,-6.18950333000916
3.26,-6.18950786948832
3.28,-6.18951239199682
3.3,-6.18951689761743
3.32,-6.18952138644879
3.34,-6.18952585860502
3.36,-6.1895303142155
3.38,-6.18953475342437
3.4,-6.18953917639008
3.42,-6.18954358328485
3.44,-6.18954797429394
3.46,-6.18955234961518
3.48,-6.18955670945812
3.5,-6.18956105404336
3.52,-6.18956538360177
3.54,-6.18956969837358
3.56,-6.18957399860778
3.58,-6.18957828456107
3.6,-6.18958255649711
3.62,-6.18958681468568
3.64,-6.18959105940166
3.66,-6.18959529092438
3.68,-6.18959950953655
3.7,-6.18960371552348
3.72,-6.18960790917222
3.74,-6.18961209077068
3.76,-6.18961626060687
3.78,-6.18962041896784
3.8,-6.18962456613919
3.82,-6.18962870240407
3.84,-6.18963282804233
3.86,-6.18963694333
3.88,-6.18964104853836
3.9,-6.18964514393334
3.92,-6.18964922977463
3.94,-6.18965330631537
3.96,-6.1896573738011
3.98,-6.18966143246944
4,-6.18966548254935
4.02,-6.18966952426062
4.04,-6.18967355781332
4.06,-6.18967758340727
4.08,-6.18968160123152
4.1,-6.18968561146405
4.12,-6.18968961427115
4.14,-6.18969360980707
4.16,-6.1896975982137
4.18,-6.18970157962014
4.2,-6.18970555414248
4.22,-6.18970952188333
4.24,-6.18971348293175
4.26,-6.18971743736275
4.28,-6.18972138523732
4.3,-6.189725326602
4.32,-6.18972926148892
4.34,-6.18973318991545
4.36,-6.18973711188409
4.38,-6.1897410273825
4.4,-6.18974493638321
4.42,-6.18974883884369
4.44,-6.18975273470618
4.46,-6.18975662389776
4.48,-6.18976050633023
4.5,-6.18976438190015
4.52,-6.18976825048885
4.54,-6.18977211196249
4.56,-6.18977596617194
4.58,-6.18977981295307
4.6,-6.18978365212661
4.62,-6.18978748349843
4.64,-6.18979130685936
4.66,-6.18979512198553
4.68,-6.18979892863843
4.7,-6.18980272656495
4.72,-6.1898065154975
4.74,-6.18981029515433
4.76,-6.18981406523942
4.78,-6.18981782544287
4.8,-6.18982157544082
4.82,-6.18982531489582
4.84,-6.18982904345696
4.86,-6.18983276075992
4.88,-6.18983646642725
4.9,-6.18984016006858
4.92,-6.18984384128076
4.94,-6.18984750964798
4.96,-6.18985116474212
4.98,-6.18985480612285
5,-6.18985843333785
5.02,-6.18986204592303
5.04,-6.18986564340265
5.06,-6.18986922528971
5.08,-6.18987279108597
5.1,-6.18987634028231
5.12,-6.18987987235884
5.14,-6.18988338678522
5.16,-6.18988688302087
5.18,-6.18989036051507
5.2,-6.18989381870745
5.22,-6.18989725702797
5.24,-6.18990067489736
5.26,-6.18990407172729
5.28,-6.18990744692065
5.3,-6.18991079987184
5.32,-6.189914129967
5.34,-6.18991743658437
5.36,-6.18992071909458
5.38,-6.18992397686091
5.4,-6.18992720923969
5.42,-6.18993041558061
5.44,-6.18993359522708
5.46,-6.18993674751662
5.48,-6.18993987178124
5.5,-6.18994296734793
5.52,-6.18994603353896
5.54,-6.18994906967251
5.56,-6.18995207506298
5.58,-6.18995504902167
5.6,-6.18995799085724
5.62,-6.1899608998763
5.64,-6.18996377538398
5.66,-6.18996661668468
5.68,-6.1899694230826
5.7,-6.18997219388257
5.72,-6.18997492839077
5.74,-6.1899776259155
5.76,-6.18998028576806
5.78,-6.18998290726362
5.8,-6.18998548972208
5.82,-6.18998803246934
5.84,-6.18999053483784
5.86,-6.18999299616817
5.88,-6.18999541580994
5.9,-6.18999779312295
5.92,-6.1900001274787
5.94,-6.19000241826149
5.96,-6.19000466487002
5.98,-6.19000686671868
6,-6.19000902323929
6.02,-6.19001113388263
6.04,-6.19001319812012
6.06,-6.1900152154458
6.08,-6.19001718537801
6.1,-6.19001910746153
6.12,-6.19002098126964
6.14,-6.19002280640636
6.16,-6.19002458250861
6.18,-6.19002630924897
6.2,-6.19002798633797
6.22,-6.19002961352699
6.24,-6.19003119061112
6.26,-6.19003271743218
6.28,-6.190034193882
6.3,-6.19003561990588
6.32,-6.1900369955062
6.34,-6.19003832074639
6.36,-6.19003959575507
6.38,-6.1900408207305
6.4,-6.19004199594545
6.42,-6.19004312175213
6.44,-6.19004419858796
6.46,-6.19004522698134
6.48,-6.19004620755817
6.5,-6.19004714104868
6.52,-6.1900480282953
6.54,-6.19004887026036
6.56,-6.19004966803544
6.58,-6.19005042285088
6.6,-6.19005113608649
6.62,-6.19005180928308
6.64,-6.19005244415538
6.66,-6.19005304260592
6.68,-6.1900536067405
6.7,-6.1900541388852
6.72,-6.19005464160503
6.74,-6.19005511772485
6.76,-6.19005557035217
6.78,-6.19005600290268
6.8,-6.19005641912855
6.82,-6.19005682314984
6.84,-6.19005721948949
6.86,-6.19005761311227
6.88,-6.19005800946837
6.9,-6.19005841454174
6.92,-6.1900588349044
6.94,-6.19005927777662
6.96,-6.19005975109453
6.98,-6.19006026358509
7,-6.19006082484957
7.02,-6.19006144545646
7.04,-6.19006213704413
7.06,-6.19006291243385
7.08,-6.19006378575384
7.1,-6.1900647725742
7.12,-6.19006589005211
7.14,-6.19006715708634
7.16,-6.19006859447834
7.18,-6.19007022509692
7.2,-6.19007207403951
7.22,-6.19007416878282
7.24,-6.19007653930954
7.26,-6.19007921819536
7.28,-6.19008224063313
7.3,-6.19008564436499
7.32,-6.19008946948408
7.34,-6.19009375805821
7.36,-6.19009855351713
7.38,-6.1901038997347
7.4,-6.19010983972875
7.42,-6.19011641389654
7.44,-6.19012365770561
7.46,-6.19013159877518
7.48,-6.19014025331308
7.5,-6.19014962192733
7.52,-6.19015968491508
7.54,-6.19017039724884
7.56,-6.1901816836406
7.58,-6.19019343426904
7.6,-6.19020550200611
7.62,-6.19021770225641
7.64,-6.19022981676527
7.66,-6.19024160280713
7.68,-6.19025280877541
7.7,-6.19026319604431
7.72,-6.19027256493087
7.74,-6.1902807800837
7.76,-6.19028778887273
7.78,-6.19029362687747
7.8,-6.19029840801429
7.82,-6.19030230194851
7.84,-6.19030550553564
7.86,-6.19030821597663
7.88,-6.19031061113302
7.9,-6.19031283882395
7.92,-6.19031501392525
7.94,-6.19031722066661
7.96,-6.19031951749795
7.98,-6.19032194260025
8,-6.19032451894507
8.02,-6.19032725845287
8.04,-6.19033016518995
8.06,-6.19033323772742
8.08,-6.19033647084283
8.1,-6.1903398567347
8.12,-6.19034338588961
8.14,-6.19034704770455
8.16,-6.19035083093762
8.18,-6.19035472403736
8.2,-6.19035871538456
8.22,-6.19036279346993
8.24,-6.19036694702401
8.26,-6.19037116511048
8.28,-6.1903754371918
8.3,-6.19037975317318
8.32,-6.19038410343011
8.34,-6.1903884788234
8.36,-6.19039287070446
8.38,-6.19039727091395
8.4,-6.19040167177491
8.42,-6.19040606608254
8.44,-6.19041044709151
8.46,-6.19041480850177
8.48,-6.19041914444341
8.5,-6.19042344946108
8.52,-6.19042771849855
8.54,-6.1904319468831
8.56,-6.19043613031037
8.58,-6.19044026482949
8.6,-6.19044434682867
8.62,-6.19044837302119
8.64,-6.19045234043162
8.66,-6.19045624638259
8.68,-6.19046008848182
8.7,-6.19046386460946
8.72,-6.1904675729058
8.74,-6.19047121175913
8.76,-6.19047477979397
8.78,-6.19047827585956
8.8,-6.19048169901843
8.82,-6.19048504853554
8.84,-6.19048832386723
8.86,-6.19049152465083
8.88,-6.19049465069422
8.9,-6.1904977019659
8.92,-6.19050067858509
8.94,-6.19050358081223
8.96,-6.19050640903986
8.98,-6.19050916378351
9,-6.19051184567317
9.02,-6.19051445544495
9.04,-6.19051699393297
9.06,-6.19051946206165
9.08,-6.19052186083841
9.1,-6.19052419134632
9.12,-6.19052645473763
9.14,-6.19052865222695
9.16,-6.1905307850853
9.18,-6.19053285463417
9.2,-6.19053486223987
9.22,-6.19053680930836
9.24,-6.19053869728016
9.26,-6.19054052762564
9.28,-6.19054230184065
9.3,-6.1905440214422
9.32,-6.19054568796463
9.34,-6.19054730295586
9.36,-6.19054886797393
9.38,-6.19055038458385
9.4,-6.19055185435454
9.42,-6.19055327885598
9.44,-6.19055465965671
9.46,-6.19055599832141
9.48,-6.19055729640857
9.5,-6.19055855546856
9.52,-6.19055977704163
9.54,-6.19056096265635
9.56,-6.19056211382776
9.58,-6.19056323205615
9.6,-6.19056431882568
9.62,-6.19056537560309
9.64,-6.19056640383678
9.66,-6.19056740495568
9.68,-6.19056838036857
9.7,-6.1905693314631
9.72,-6.19057025960531
9.74,-6.19057116613889
9.76,-6.19057205238476
9.78,-6.19057291964059
9.8,-6.19057376918041
9.82,-6.19057460225437
9.84,-6.19057542008839
9.86,-6.19057622388404
9.88,-6.19057701481843
9.9,-6.19057779404393
9.92,-6.1905785626884
9.94,-6.19057932185498
9.96,-6.19058007262207
9.98,-6.19058081604362
10,-6.190581553149
