"Freq [GHz]","dB(St(stripline1_T4,stripline1_T1)) []"
1,-6.6679374061894
1.02,-6.66792938296656
1.04,-6.66792070965167
1.06,-6.6679119206167
1.08,-6.66790344908317
1.1,-6.66789563989881
1.12,-6.66788876114373
1.14,-6.66788301462013
1.16,-6.66787854528557
1.18,-6.66787544969774
1.2,-6.66787378354092
1.22,-6.66787356830422
1.24,-6.66787479718191
1.26,-6.66787744026259
1.28,-6.66788144907376
1.3,-6.66788676054045
1.32,-6.66789330041871
1.34,-6.66790098625389
1.36,-6.6679097299177
1.38,-6.6679194397661
1.4,-6.66793002246237
1.42,-6.66794138450343
1.44,-6.6679534334833
1.46,-6.66796607912704
1.48,-6.66797923412234
1.5,-6.66799281477542
1.52,-6.66800674151433
1.54,-6.66802093926035
1.56,-6.66803533768565
1.58,-6.66804987137473
1.6,-6.66806447990318
1.62,-6.66807910784754
1.64,-6.66809370473774
1.66,-6.66810822496141
1.68,-6.66812262763044
1.7,-6.66813687641536
1.72,-6.66815093935717
1.74,-6.66816478865944
1.76,-6.66817840046806
1.78,-6.66819175464181
1.8,-6.66820483451774
1.82,-6.6682176266747
1.84,-6.66823012069737
1.86,-6.66824230894322
1.88,-6.66825418631398
1.9,-6.66826575003363
1.92,-6.6682769994333
1.94,-6.66828793574468
1.96,-6.66829856190263
1.98,-6.66830888235675
2,-6.6683189028935
2.02,-6.66832863046754
2.04,-6.6683380730441
2.06,-6.66834723945073
2.08,-6.66835613923943
2.1,-6.6683647825586
2.12,-6.66837318003437
2.14,-6.66838134266151
2.16,-6.66838928170304
2.18,-6.66839700859879
2.2,-6.66840453488193
2.22,-6.66841187210358
2.24,-6.66841903176478
2.26,-6.66842602525568
2.28,-6.66843286380132
2.3,-6.66843955841362
2.32,-6.66844611984941
2.34,-6.66845255857405
2.36,-6.66845888472985
2.38,-6.66846510810973
2.4,-6.66847123813468
2.42,-6.66847728383611
2.44,-6.6684832538412
2.46,-6.66848915636215
2.48,-6.66849499918856
2.5,-6.66850078968247
2.52,-6.66850653477625
2.54,-6.66851224097276
2.56,-6.66851791434752
2.58,-6.66852356055316
2.6,-6.6685291848251
2.62,-6.66853479198917
2.64,-6.66854038647017
2.66,-6.66854597230193
2.68,-6.66855155313821
2.7,-6.66855713226438
2.72,-6.66856271261006
2.74,-6.66856829676212
2.76,-6.66857388697835
2.78,-6.66857948520134
2.8,-6.66858509307281
2.82,-6.66859071194804
2.84,-6.66859634291051
2.86,-6.66860198678645
2.88,-6.6686076441594
2.9,-6.6686133153849
2.92,-6.66861900060479
2.94,-6.66862469976133
2.96,-6.66863041261148
2.98,-6.66863613874032
3,-6.66864187757479
3.02,-6.66864762839672
3.04,-6.66865339035551
3.06,-6.6686591624808
3.08,-6.66866494369435
3.1,-6.66867073282182
3.12,-6.66867652860407
3.14,-6.66868232970777
3.16,-6.66868813473606
3.18,-6.66869394223857
3.2,-6.66869975072086
3.22,-6.66870555865356
3.24,-6.66871136448124
3.26,-6.66871716663068
3.28,-6.66872296351847
3.3,-6.66872875355888
3.32,-6.66873453517057
3.34,-6.66874030678341
3.36,-6.66874606684463
3.38,-6.66875181382469
3.4,-6.66875754622269
3.42,-6.66876326257156
3.44,-6.6687689614427
3.46,-6.66877464145036
3.48,-6.66878030125565
3.5,-6.66878593957016
3.52,-6.66879155515961
3.54,-6.66879714684642
3.56,-6.66880271351285
3.58,-6.66880825410332
3.6,-6.66881376762642
3.62,-6.66881925315706
3.64,-6.6688247098379
3.66,-6.6688301368808
3.68,-6.66883553356798
3.7,-6.66884089925278
3.72,-6.66884623336056
3.74,-6.66885153538903
3.76,-6.66885680490841
3.78,-6.66886204156176
3.8,-6.66886724506467
3.82,-6.66887241520501
3.84,-6.6688775518425
3.86,-6.66888265490802
3.88,-6.66888772440302
3.9,-6.66889276039833
3.92,-6.66889776303343
3.94,-6.66890273251503
3.96,-6.66890766911587
3.98,-6.66891257317339
4,-6.66891744508804
4.02,-6.66892228532191
4.04,-6.66892709439681
4.06,-6.66893187289256
4.08,-6.6689366214452
4.1,-6.66894134074488
4.12,-6.668946031534
4.14,-6.66895069460509
4.16,-6.66895533079858
4.18,-6.66895994100064
4.2,-6.66896452614114
4.22,-6.66896908719101
4.24,-6.66897362516017
4.26,-6.6689781410951
4.28,-6.66898263607639
4.3,-6.66898711121644
4.32,-6.66899156765676
4.34,-6.66899600656584
4.36,-6.66900042913633
4.38,-6.66900483658275
4.4,-6.66900923013895
4.42,-6.66901361105546
4.44,-6.6690179805971
4.46,-6.66902234004039
4.48,-6.66902669067104
4.5,-6.66903103378137
4.52,-6.66903537066793
4.54,-6.66903970262875
4.56,-6.66904403096119
4.58,-6.66904835695908
4.6,-6.66905268191052
4.62,-6.6690570070953
4.64,-6.66906133378258
4.66,-6.66906566322837
4.68,-6.66906999667319
4.7,-6.66907433533981
4.72,-6.66907868043078
4.74,-6.66908303312626
4.76,-6.66908739458167
4.78,-6.6690917659256
4.8,-6.66909614825756
4.82,-6.66910054264572
4.84,-6.66910495012507
4.86,-6.66910937169513
4.88,-6.66911380831811
4.9,-6.66911826091687
4.92,-6.66912273037294
4.94,-6.6691272175249
4.96,-6.6691317231663
4.98,-6.66913624804413
5,-6.66914079285702
5.02,-6.66914535825359
5.04,-6.66914994483102
5.06,-6.66915455313343
5.08,-6.66915918365046
5.1,-6.66916383681598
5.12,-6.66916851300664
5.14,-6.6691732125409
5.16,-6.66917793567758
5.18,-6.66918268261503
5.2,-6.66918745348999
